 41 4021.928800 4.758E-25 3.559E-03.07500.095  782.39000.73-.003693        1 2 0 1        0 1 1 0                    P 21e     465544 6 5 5 3 3 3   369.0  387.0
 41 4021.992060 2.415E-24 5.134E-03.06920.082  653.22860.79-.003841        1 1 1 1        0 0 0 0                    P 39e     465544 6 5 5 3 3 3   693.0  711.0
 41 4022.064410 2.770E-25 4.538E-03.07100.087 1032.05610.80-.003818        1 2 2 1        0 1 1 0                    P 32f     465544 6 5 5 3 3 3   567.0  585.0
 41 4022.944860 4.919E-25 3.552E-03.07550.096  764.79110.73-.003671        1 2 0 1        0 1 1 0                    P 20e     465544 6 5 5 3 3 3   351.0  369.0
 41 4022.949650 2.673E-25 4.363E-03.07100.087 1031.22090.80-.003818        1 2 2 1        0 1 1 0                    P 32e     465544 6 5 5 3 3 3   567.0  585.0
 41 4023.200340 3.024E-25 4.493E-03.07130.087 1005.20150.80-.003812        1 2 2 1        0 1 1 0                    P 31f     465544 6 5 5 3 3 3   549.0  567.0
 41 4023.203230 2.734E-24 5.094E-03.06940.083  620.58750.80-.003839        1 1 1 1        0 0 0 0                    P 38e     465544 6 5 5 3 3 3   675.0  693.0
 41 4023.951890 5.000E-25 3.510E-03.07600.097  748.02970.73-.003645        1 2 0 1        0 1 1 0                    P 19e     465544 6 5 5 3 3 3   333.0  351.0
 41 4024.029140 2.919E-25 4.322E-03.07130.087 1004.41690.80-.003812        1 2 2 1        0 1 1 0                    P 31e     465544 6 5 5 3 3 3   549.0  567.0
 41 4024.326820 3.282E-25 4.445E-03.07160.088  979.18470.79-.003806        1 2 2 1        0 1 1 0                    P 30f     465544 6 5 5 3 3 3   531.0  549.0
 41 4024.404690 3.084E-24 5.061E-03.06960.084  588.78130.80-.003836        1 1 1 1        0 0 0 0                    P 37e     465544 6 5 5 3 3 3   657.0  675.0
 41 4024.949920 5.080E-25 3.491E-03.07650.098  732.10590.73-.003617        1 2 0 1        0 1 1 0                    P 18e     465544 6 5 5 3 3 3   315.0  333.0
